All	ASV	GxY	Soil_div	Rel_abund_Root	Compartment	Combined	Combined2
HighRoot-BostonY1	ASV1	BostonY1	High	0	Root	ASV1_BostonY1	ASV1_High
HighRoot-BostonY2	ASV1	BostonY2	High	0	Root	ASV1_BostonY2	ASV1_High
HighRoot-MajorY1	ASV1	MajorY1	High	0	Root	ASV1_MajorY1	ASV1_High
HighRoot-MajorY2	ASV1	MajorY2	High	0	Root	ASV1_MajorY2	ASV1_High
LowRoot-BostonY1	ASV1	BostonY1	Low	0	Root	ASV1_BostonY1	ASV1_Low
LowRoot-BostonY2	ASV1	BostonY2	Low	0	Root	ASV1_BostonY2	ASV1_Low
LowRoot-MajorY1	ASV1	MajorY1	Low	0	Root	ASV1_MajorY1	ASV1_Low
LowRoot-MajorY2	ASV1	MajorY2	Low	0	Root	ASV1_MajorY2	ASV1_Low
HighRoot-BostonY1	ASV2	BostonY1	High	45.84042501	Root	ASV2_BostonY1	ASV2_High
HighRoot-BostonY2	ASV2	BostonY2	High	42.02114979	Root	ASV2_BostonY2	ASV2_High
HighRoot-MajorY1	ASV2	MajorY1	High	23.78361586	Root	ASV2_MajorY1	ASV2_High
HighRoot-MajorY2	ASV2	MajorY2	High	31.17682506	Root	ASV2_MajorY2	ASV2_High
LowRoot-BostonY1	ASV2	BostonY1	Low	28.6359815	Root	ASV2_BostonY1	ASV2_Low
LowRoot-BostonY2	ASV2	BostonY2	Low	25.3416364	Root	ASV2_BostonY2	ASV2_Low
LowRoot-MajorY1	ASV2	MajorY1	Low	19.85844562	Root	ASV2_MajorY1	ASV2_Low
LowRoot-MajorY2	ASV2	MajorY2	Low	3.792784459	Root	ASV2_MajorY2	ASV2_Low
HighRoot-BostonY1	ASV3	BostonY1	High	0	Root	ASV3_BostonY1	ASV3_High
HighRoot-BostonY2	ASV3	BostonY2	High	0	Root	ASV3_BostonY2	ASV3_High
HighRoot-MajorY1	ASV3	MajorY1	High	0	Root	ASV3_MajorY1	ASV3_High
HighRoot-MajorY2	ASV3	MajorY2	High	0.320933625	Root	ASV3_MajorY2	ASV3_High
LowRoot-BostonY1	ASV3	BostonY1	Low	0	Root	ASV3_BostonY1	ASV3_Low
LowRoot-BostonY2	ASV3	BostonY2	Low	0	Root	ASV3_BostonY2	ASV3_Low
LowRoot-MajorY1	ASV3	MajorY1	Low	0	Root	ASV3_MajorY1	ASV3_Low
LowRoot-MajorY2	ASV3	MajorY2	Low	0	Root	ASV3_MajorY2	ASV3_Low
HighRoot-BostonY1	ASV4	BostonY1	High	0.053788228	Root	ASV4_BostonY1	ASV4_High
HighRoot-BostonY2	ASV4	BostonY2	High	0.370243791	Root	ASV4_BostonY2	ASV4_High
HighRoot-MajorY1	ASV4	MajorY1	High	6.150384669	Root	ASV4_MajorY1	ASV4_High
HighRoot-MajorY2	ASV4	MajorY2	High	2.023475037	Root	ASV4_MajorY2	ASV4_High
LowRoot-BostonY1	ASV4	BostonY1	Low	62.5747867	Root	ASV4_BostonY1	ASV4_Low
LowRoot-BostonY2	ASV4	BostonY2	Low	56.85138873	Root	ASV4_BostonY2	ASV4_Low
LowRoot-MajorY1	ASV4	MajorY1	Low	64.70423938	Root	ASV4_MajorY1	ASV4_Low
LowRoot-MajorY2	ASV4	MajorY2	Low	91.20929984	Root	ASV4_MajorY2	ASV4_Low
HighRoot-BostonY1	ASV5	BostonY1	High	0	Root	ASV5_BostonY1	ASV5_High
HighRoot-BostonY2	ASV5	BostonY2	High	0	Root	ASV5_BostonY2	ASV5_High
HighRoot-MajorY1	ASV5	MajorY1	High	0	Root	ASV5_MajorY1	ASV5_High
HighRoot-MajorY2	ASV5	MajorY2	High	0	Root	ASV5_MajorY2	ASV5_High
LowRoot-BostonY1	ASV5	BostonY1	Low	2.951559934	Root	ASV5_BostonY1	ASV5_Low
LowRoot-BostonY2	ASV5	BostonY2	Low	7.391271115	Root	ASV5_BostonY2	ASV5_Low
LowRoot-MajorY1	ASV5	MajorY1	Low	0.654392886	Root	ASV5_MajorY1	ASV5_Low
LowRoot-MajorY2	ASV5	MajorY2	Low	1.883292909	Root	ASV5_MajorY2	ASV5_Low
HighRoot-BostonY1	ASV6	BostonY1	High	3.235498027	Root	ASV6_BostonY1	ASV6_High
HighRoot-BostonY2	ASV6	BostonY2	High	1.500059349	Root	ASV6_BostonY2	ASV6_High
HighRoot-MajorY1	ASV6	MajorY1	High	1.935206266	Root	ASV6_MajorY1	ASV6_High
HighRoot-MajorY2	ASV6	MajorY2	High	4.287065391	Root	ASV6_MajorY2	ASV6_High
LowRoot-BostonY1	ASV6	BostonY1	Low	0	Root	ASV6_BostonY1	ASV6_Low
LowRoot-BostonY2	ASV6	BostonY2	Low	0	Root	ASV6_BostonY2	ASV6_Low
LowRoot-MajorY1	ASV6	MajorY1	Low	0	Root	ASV6_MajorY1	ASV6_Low
LowRoot-MajorY2	ASV6	MajorY2	Low	0	Root	ASV6_MajorY2	ASV6_Low
HighRoot-BostonY1	ASV7	BostonY1	High	0	Root	ASV7_BostonY1	ASV7_High
HighRoot-BostonY2	ASV7	BostonY2	High	0	Root	ASV7_BostonY2	ASV7_High
HighRoot-MajorY1	ASV7	MajorY1	High	0	Root	ASV7_MajorY1	ASV7_High
HighRoot-MajorY2	ASV7	MajorY2	High	0.189642597	Root	ASV7_MajorY2	ASV7_High
LowRoot-BostonY1	ASV7	BostonY1	Low	0	Root	ASV7_BostonY1	ASV7_Low
LowRoot-BostonY2	ASV7	BostonY2	Low	0.01153203	Root	ASV7_BostonY2	ASV7_Low
LowRoot-MajorY1	ASV7	MajorY1	Low	0	Root	ASV7_MajorY1	ASV7_Low
LowRoot-MajorY2	ASV7	MajorY2	Low	0.023126735	Root	ASV7_MajorY2	ASV7_Low
HighRoot-BostonY1	ASV8	BostonY1	High	0.315045336	Root	ASV8_BostonY1	ASV8_High
HighRoot-BostonY2	ASV8	BostonY2	High	0	Root	ASV8_BostonY2	ASV8_High
HighRoot-MajorY1	ASV8	MajorY1	High	0	Root	ASV8_MajorY1	ASV8_High
HighRoot-MajorY2	ASV8	MajorY2	High	0.471664907	Root	ASV8_MajorY2	ASV8_High
LowRoot-BostonY1	ASV8	BostonY1	Low	1.366120219	Root	ASV8_BostonY1	ASV8_Low
LowRoot-BostonY2	ASV8	BostonY2	Low	3.672951623	Root	ASV8_BostonY2	ASV8_Low
LowRoot-MajorY1	ASV8	MajorY1	Low	1.538042739	Root	ASV8_MajorY1	ASV8_Low
LowRoot-MajorY2	ASV8	MajorY2	Low	0.238976257	Root	ASV8_MajorY2	ASV8_Low
HighRoot-BostonY1	ASV9	BostonY1	High	0	Root	ASV9_BostonY1	ASV9_High
HighRoot-BostonY2	ASV9	BostonY2	High	0	Root	ASV9_BostonY2	ASV9_High
HighRoot-MajorY1	ASV9	MajorY1	High	0	Root	ASV9_MajorY1	ASV9_High
HighRoot-MajorY2	ASV9	MajorY2	High	0	Root	ASV9_MajorY2	ASV9_High
LowRoot-BostonY1	ASV9	BostonY1	Low	0	Root	ASV9_BostonY1	ASV9_Low
LowRoot-BostonY2	ASV9	BostonY2	Low	0	Root	ASV9_BostonY2	ASV9_Low
LowRoot-MajorY1	ASV9	MajorY1	Low	0	Root	ASV9_MajorY1	ASV9_Low
LowRoot-MajorY2	ASV9	MajorY2	Low	0	Root	ASV9_MajorY2	ASV9_Low
HighRoot-BostonY1	ASV11	BostonY1	High	0	Root	ASV11_BostonY1	ASV11_High
HighRoot-BostonY2	ASV11	BostonY2	High	0	Root	ASV11_BostonY2	ASV11_High
HighRoot-MajorY1	ASV11	MajorY1	High	0	Root	ASV11_MajorY1	ASV11_High
