All	ASV	GxY	Soil_div	Rel_abund_Seed	Compartment	Combined	Combined2	Type
nsSeed-BostonY1	ASV1	BostonY1	ns	18.33296333	Seed	ASV1_BostonY1	ASV1_ns	> 1%: Dominant
nsSeed-BostonY2	ASV1	BostonY2	ns	29.95615266	Seed	ASV1_BostonY2	ASV1_ns	> 1%: Dominant
nsSeed-MajorY1	ASV1	MajorY1	ns	13.72929059	Seed	ASV1_MajorY1	ASV1_ns	> 1%: Dominant
nsSeed-MajorY2	ASV1	MajorY2	ns	29.26409976	Seed	ASV1_MajorY2	ASV1_ns	> 1%: Dominant
nsSeed-BostonY1	ASV3	BostonY1	ns	27.95131244	Seed	ASV3_BostonY1	ASV3_ns	> 1%: Dominant
nsSeed-BostonY2	ASV3	BostonY2	ns	24.41736848	Seed	ASV3_BostonY2	ASV3_ns	> 1%: Dominant
nsSeed-MajorY1	ASV3	MajorY1	ns	24.40487893	Seed	ASV3_MajorY1	ASV3_ns	> 1%: Dominant
nsSeed-MajorY2	ASV3	MajorY2	ns	25.03964224	Seed	ASV3_MajorY2	ASV3_ns	> 1%: Dominant
nsSeed-BostonY1	ASV7	BostonY1	ns	3.706396365	Seed	ASV7_BostonY1	ASV7_ns	> 1%: Dominant
nsSeed-BostonY2	ASV7	BostonY2	ns	17.63713082	Seed	ASV7_BostonY2	ASV7_ns	> 1%: Dominant
nsSeed-MajorY1	ASV7	MajorY1	ns	5.10463161	Seed	ASV7_MajorY1	ASV7_ns	> 1%: Dominant
nsSeed-MajorY2	ASV7	MajorY2	ns	18.41078857	Seed	ASV7_MajorY2	ASV7_ns	> 1%: Dominant
nsSeed-BostonY1	ASV11	BostonY1	ns	3.348402457	Seed	ASV11_BostonY1	ASV11_ns	> 1%: Dominant
nsSeed-BostonY2	ASV11	BostonY2	ns	6.08329552	Seed	ASV11_BostonY2	ASV11_ns	> 1%: Dominant
nsSeed-MajorY1	ASV11	MajorY1	ns	4.415449502	Seed	ASV11_MajorY1	ASV11_ns	> 1%: Dominant
nsSeed-MajorY2	ASV11	MajorY2	ns	6.658129863	Seed	ASV11_MajorY2	ASV11_ns	> 1%: Dominant
nsSeed-BostonY1	ASV16	BostonY1	ns	9.557166271	Seed	ASV16_BostonY1	ASV16_ns	> 1%: Dominant
nsSeed-BostonY2	ASV16	BostonY2	ns	2.503616576	Seed	ASV16_BostonY2	ASV16_ns	> 1%: Dominant
nsSeed-MajorY1	ASV16	MajorY1	ns	9.552440427	Seed	ASV16_MajorY1	ASV16_ns	> 1%: Dominant
