All	ASV	GxY	Soil_div	Rel_abund_Soil	Compartment	Combined	Combined2	Type
HighSoil-ndSoil	ASV2	nd	High	1.576264542	Soil	ASV2_nd	ASV2_High	> 1%: Dominant
LowSoil-ndSoil	ASV5	nd	Low	30.48001836	Soil	ASV5_nd	ASV5_Low	> 1%: Dominant
HighSoil-ndSoil	ASV6	nd	High	49.27324009	Soil	ASV6_nd	ASV6_High	> 1%: Dominant
HighSoil-ndSoil	ASV8	nd	High	13.35286002	Soil	ASV8_nd	ASV8_High	> 1%: Dominant
LowSoil-ndSoil	ASV8	nd	Low	20.68933537	Soil	ASV8_nd	ASV8_Low	> 1%: Dominant
LowSoil-ndSoil	ASV17	nd	Low	23.83109445	Soil	ASV17_nd	ASV17_Low	> 1%: Dominant
LowSoil-ndSoil	ASV23	nd	Low	10.85305057	Soil	ASV23_nd	ASV23_Low	> 1%: Dominant
HighSoil-ndSoil	ASV26	nd	High	7.358304623	Soil	ASV26_nd	ASV26_High	> 1%: Dominant
HighSoil-ndSoil	ASV28	nd	High	5.412485031	Soil	ASV28_nd	ASV28_High	> 1%: Dominant
HighSoil-ndSoil	ASV30	nd	High	1.915856851	Soil	ASV30_nd	ASV30_High	> 1%: Dominant
LowSoil-ndSoil	ASV32	nd	Low	2.840797921	Soil	ASV32_nd	ASV32_Low	> 1%: Dominant
HighSoil-ndSoil	ASV35	nd	High	1.625223971	Soil	ASV35_nd	ASV35_High	> 1%: Dominant
LowSoil-ndSoil	ASV37	nd	Low	2.096771927	Soil	ASV37_nd	ASV37_Low	> 1%: Dominant
HighSoil-ndSoil	ASV38	nd	High	1.989908546	Soil	ASV38_nd	ASV38_High	> 1%: Dominant
HighSoil-ndSoil	ASV46	nd	High	1.484990665	Soil	ASV46_nd	ASV46_High	> 1%: Dominant
HighSoil-ndSoil	ASV50	nd	High	1.55570403	Soil	ASV50_nd	ASV50_High	> 1%: Dominant
HighSoil-ndSoil	ASV51	nd	High	1.500681235	Soil	ASV51_nd	ASV51_High	> 1%: Dominant
LowSoil-ndSoil	ASV79	nd	Low	1.103821722	Soil	ASV79_nd	ASV79_Low	> 1%: Dominant
HighSoil-ndSoil	ASV1	nd	High	0.001545786	Soil	ASV1_nd	ASV1_High	< 0.01%: Rare
LowSoil-ndSoil	ASV1	nd	Low	0.06263304	Soil	ASV1_nd	ASV1_Low	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV2	nd	Low	0.633955365	Soil	ASV2_nd	ASV2_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV3	nd	High	0	Soil	ASV3_nd	ASV3_High	< 0.01%: Rare
LowSoil-ndSoil	ASV3	nd	Low	0	Soil	ASV3_nd	ASV3_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV4	nd	High	0.003091572	Soil	ASV4_nd	ASV4_High	< 0.01%: Rare
LowSoil-ndSoil	ASV4	nd	Low	0.579790908	Soil	ASV4_nd	ASV4_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV5	nd	High	0	Soil	ASV5_nd	ASV5_High	< 0.01%: Rare
LowSoil-ndSoil	ASV6	nd	Low	0.019525148	Soil	ASV6_nd	ASV6_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV7	nd	High	0.007020013	Soil	ASV7_nd	ASV7_High	< 0.01%: Rare
LowSoil-ndSoil	ASV7	nd	Low	0.157502864	Soil	ASV7_nd	ASV7_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV9	nd	High	0	Soil	ASV9_nd	ASV9_High	< 0.01%: Rare
LowSoil-ndSoil	ASV9	nd	Low	0	Soil	ASV9_nd	ASV9_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV11	nd	High	0	Soil	ASV11_nd	ASV11_High	< 0.01%: Rare
LowSoil-ndSoil	ASV11	nd	Low	0.006508383	Soil	ASV11_nd	ASV11_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV12	nd	High	0	Soil	ASV12_nd	ASV12_High	< 0.01%: Rare
LowSoil-ndSoil	ASV12	nd	Low	0	Soil	ASV12_nd	ASV12_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV13	nd	High	0.56962221	Soil	ASV13_nd	ASV13_High	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV13	nd	Low	0	Soil	ASV13_nd	ASV13_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV14	nd	High	0	Soil	ASV14_nd	ASV14_High	< 0.01%: Rare
LowSoil-ndSoil	ASV14	nd	Low	0	Soil	ASV14_nd	ASV14_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV16	nd	High	0.000772893	Soil	ASV16_nd	ASV16_High	< 0.01%: Rare
LowSoil-ndSoil	ASV16	nd	Low	0	Soil	ASV16_nd	ASV16_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV17	nd	High	0.276675239	Soil	ASV17_nd	ASV17_High	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV18	nd	High	0.595550055	Soil	ASV18_nd	ASV18_High	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV18	nd	Low	0.052995224	Soil	ASV18_nd	ASV18_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV19	nd	High	0	Soil	ASV19_nd	ASV19_High	< 0.01%: Rare
LowSoil-ndSoil	ASV19	nd	Low	0	Soil	ASV19_nd	ASV19_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV20	nd	High	0	Soil	ASV20_nd	ASV20_High	< 0.01%: Rare
LowSoil-ndSoil	ASV20	nd	Low	0	Soil	ASV20_nd	ASV20_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV21	nd	High	0	Soil	ASV21_nd	ASV21_High	< 0.01%: Rare
LowSoil-ndSoil	ASV21	nd	Low	0	Soil	ASV21_nd	ASV21_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV22	nd	High	0	Soil	ASV22_nd	ASV22_High	< 0.01%: Rare
LowSoil-ndSoil	ASV22	nd	Low	0	Soil	ASV22_nd	ASV22_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV23	nd	High	0.308492745	Soil	ASV23_nd	ASV23_High	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV24	nd	High	0	Soil	ASV24_nd	ASV24_High	< 0.01%: Rare
LowSoil-ndSoil	ASV24	nd	Low	0	Soil	ASV24_nd	ASV24_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV25	nd	High	0	Soil	ASV25_nd	ASV25_High	< 0.01%: Rare
LowSoil-ndSoil	ASV25	nd	Low	0	Soil	ASV25_nd	ASV25_Low	< 0.01%: Rare
LowSoil-ndSoil	ASV26	nd	Low	0.565061574	Soil	ASV26_nd	ASV26_Low	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV27	nd	High	0	Soil	ASV27_nd	ASV27_High	< 0.01%: Rare
LowSoil-ndSoil	ASV27	nd	Low	0	Soil	ASV27_nd	ASV27_Low	< 0.01%: Rare
LowSoil-ndSoil	ASV28	nd	Low	0	Soil	ASV28_nd	ASV28_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV29	nd	High	0.697612411	Soil	ASV29_nd	ASV29_High	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV29	nd	Low	0.709413725	Soil	ASV29_nd	ASV29_Low	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV30	nd	Low	0	Soil	ASV30_nd	ASV30_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV31	nd	High	0	Soil	ASV31_nd	ASV31_High	< 0.01%: Rare
LowSoil-ndSoil	ASV31	nd	Low	0	Soil	ASV31_nd	ASV31_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV32	nd	High	0.615310705	Soil	ASV32_nd	ASV32_High	0.01<x<1%: Intermediate
HighSoil-ndSoil	ASV33	nd	High	0	Soil	ASV33_nd	ASV33_High	< 0.01%: Rare
LowSoil-ndSoil	ASV33	nd	Low	0	Soil	ASV33_nd	ASV33_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV34	nd	High	0.136191278	Soil	ASV34_nd	ASV34_High	0.01<x<1%: Intermediate
LowSoil-ndSoil	ASV34	nd	Low	0	Soil	ASV34_nd	ASV34_Low	< 0.01%: Rare
LowSoil-ndSoil	ASV35	nd	Low	0	Soil	ASV35_nd	ASV35_Low	< 0.01%: Rare
HighSoil-ndSoil	ASV36	nd	High	0.001609762	Soil	ASV36_nd	ASV36_High	< 0.01%: Rare
LowSoil-ndSoil	ASV36	nd	Low	0	Soil	ASV36_nd	ASV36_Low	< 0.01%: Rare
