All	ASV	GxY	Soil_div	Rel_abund_Stem	Compartment	Combined	Combined2
HighStem-BostonY1	ASV1	BostonY1	High	0	Stem	ASV1_BostonY1	ASV1_High
HighStem-BostonY2	ASV1	BostonY2	High	0	Stem	ASV1_BostonY2	ASV1_High
HighStem-MajorY1	ASV1	MajorY1	High	0	Stem	ASV1_MajorY1	ASV1_High
HighStem-MajorY2	ASV1	MajorY2	High	0	Stem	ASV1_MajorY2	ASV1_High
LowStem-BostonY1	ASV1	BostonY1	Low	0	Stem	ASV1_BostonY1	ASV1_Low
LowStem-BostonY2	ASV1	BostonY2	Low	0	Stem	ASV1_BostonY2	ASV1_Low
LowStem-MajorY1	ASV1	MajorY1	Low	0	Stem	ASV1_MajorY1	ASV1_Low
LowStem-MajorY2	ASV1	MajorY2	Low	0	Stem	ASV1_MajorY2	ASV1_Low
HighStem-BostonY1	ASV2	BostonY1	High	74.63411111	Stem	ASV2_BostonY1	ASV2_High
HighStem-BostonY2	ASV2	BostonY2	High	41.89631411	Stem	ASV2_BostonY2	ASV2_High
HighStem-MajorY1	ASV2	MajorY1	High	53.51323604	Stem	ASV2_MajorY1	ASV2_High
HighStem-MajorY2	ASV2	MajorY2	High	61.23486328	Stem	ASV2_MajorY2	ASV2_High
LowStem-BostonY1	ASV2	BostonY1	Low	30.87891156	Stem	ASV2_BostonY1	ASV2_Low
LowStem-BostonY2	ASV2	BostonY2	Low	27.74539735	Stem	ASV2_BostonY2	ASV2_Low
LowStem-MajorY1	ASV2	MajorY1	Low	31.79373974	Stem	ASV2_MajorY1	ASV2_Low
LowStem-MajorY2	ASV2	MajorY2	Low	27.38025415	Stem	ASV2_MajorY2	ASV2_Low
HighStem-BostonY1	ASV3	BostonY1	High	0	Stem	ASV3_BostonY1	ASV3_High
HighStem-BostonY2	ASV3	BostonY2	High	0	Stem	ASV3_BostonY2	ASV3_High
HighStem-MajorY1	ASV3	MajorY1	High	0	Stem	ASV3_MajorY1	ASV3_High
HighStem-MajorY2	ASV3	MajorY2	High	0	Stem	ASV3_MajorY2	ASV3_High
LowStem-BostonY1	ASV3	BostonY1	Low	0	Stem	ASV3_BostonY1	ASV3_Low
LowStem-BostonY2	ASV3	BostonY2	Low	0.661637902	Stem	ASV3_BostonY2	ASV3_Low
LowStem-MajorY1	ASV3	MajorY1	Low	0	Stem	ASV3_MajorY1	ASV3_Low
LowStem-MajorY2	ASV3	MajorY2	Low	1.353682669	Stem	ASV3_MajorY2	ASV3_Low
HighStem-BostonY1	ASV4	BostonY1	High	0	Stem	ASV4_BostonY1	ASV4_High
HighStem-BostonY2	ASV4	BostonY2	High	0	Stem	ASV4_BostonY2	ASV4_High
HighStem-MajorY1	ASV4	MajorY1	High	0.046957805	Stem	ASV4_MajorY1	ASV4_High
HighStem-MajorY2	ASV4	MajorY2	High	0.014844504	Stem	ASV4_MajorY2	ASV4_High
LowStem-BostonY1	ASV4	BostonY1	Low	43.59598834	Stem	ASV4_BostonY1	ASV4_Low
LowStem-BostonY2	ASV4	BostonY2	Low	43.69204502	Stem	ASV4_BostonY2	ASV4_Low
LowStem-MajorY1	ASV4	MajorY1	Low	40.71648907	Stem	ASV4_MajorY1	ASV4_Low
LowStem-MajorY2	ASV4	MajorY2	Low	43.82959472	Stem	ASV4_MajorY2	ASV4_Low
HighStem-BostonY1	ASV5	BostonY1	High	0	Stem	ASV5_BostonY1	ASV5_High
HighStem-BostonY2	ASV5	BostonY2	High	0	Stem	ASV5_BostonY2	ASV5_High
HighStem-MajorY1	ASV5	MajorY1	High	0	Stem	ASV5_MajorY1	ASV5_High
HighStem-MajorY2	ASV5	MajorY2	High	0	Stem	ASV5_MajorY2	ASV5_High
LowStem-BostonY1	ASV5	BostonY1	Low	19.43569727	Stem	ASV5_BostonY1	ASV5_Low
LowStem-BostonY2	ASV5	BostonY2	Low	19.06086502	Stem	ASV5_BostonY2	ASV5_Low
LowStem-MajorY1	ASV5	MajorY1	Low	20.79055696	Stem	ASV5_MajorY1	ASV5_Low
LowStem-MajorY2	ASV5	MajorY2	Low	18.80489036	Stem	ASV5_MajorY2	ASV5_Low
HighStem-BostonY1	ASV6	BostonY1	High	0.689992816	Stem	ASV6_BostonY1	ASV6_High
HighStem-BostonY2	ASV6	BostonY2	High	0.999569095	Stem	ASV6_BostonY2	ASV6_High
HighStem-MajorY1	ASV6	MajorY1	High	0.990033587	Stem	ASV6_MajorY1	ASV6_High
HighStem-MajorY2	ASV6	MajorY2	High	0.496565842	Stem	ASV6_MajorY2	ASV6_High
LowStem-BostonY1	ASV6	BostonY1	Low	0	Stem	ASV6_BostonY1	ASV6_Low
LowStem-BostonY2	ASV6	BostonY2	Low	0	Stem	ASV6_BostonY2	ASV6_Low
LowStem-MajorY1	ASV6	MajorY1	Low	0	Stem	ASV6_MajorY1	ASV6_Low
LowStem-MajorY2	ASV6	MajorY2	Low	0	Stem	ASV6_MajorY2	ASV6_Low
HighStem-BostonY1	ASV7	BostonY1	High	0	Stem	ASV7_BostonY1	ASV7_High
HighStem-BostonY2	ASV7	BostonY2	High	0	Stem	ASV7_BostonY2	ASV7_High
HighStem-MajorY1	ASV7	MajorY1	High	0	Stem	ASV7_MajorY1	ASV7_High
HighStem-MajorY2	ASV7	MajorY2	High	0	Stem	ASV7_MajorY2	ASV7_High
LowStem-BostonY1	ASV7	BostonY1	Low	0	Stem	ASV7_BostonY1	ASV7_Low
LowStem-BostonY2	ASV7	BostonY2	Low	0.078570026	Stem	ASV7_BostonY2	ASV7_Low
LowStem-MajorY1	ASV7	MajorY1	Low	0	Stem	ASV7_MajorY1	ASV7_Low
LowStem-MajorY2	ASV7	MajorY2	Low	0.039100684	Stem	ASV7_MajorY2	ASV7_Low
