Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
ITS-Boston-AF-1	ASV1	14.9263677	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV1	16.86219081	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV1	24.8902177	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV1	14.9972666	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV1	19.98877386	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV1	12.5999128	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV1	13.17621853	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV1	13.10698776	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV1	11.78492671	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV1	17.97840714	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV1	29.53829852	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV1	32.23973134	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV1	29.10143402	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV1	29.71146169	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV1	29.18983774	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV1	27.56342223	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV1	30.83127059	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV1	29.91529932	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV1	28.54210248	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV1	29.46840416	Seed	Cladosporium sinuosum	Ascomycota	ns	Seed
P14B20ATD-E07	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14B20ATU-H01	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14B20BTD-E09	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14B20BTU-H03	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14B20CTD-E11	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14B20CTU-H05	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14B26ATD-G07	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14B26ATU-B02	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14B26BTD-G09	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14B26BTU-B04	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14B26CTD-G11	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14B26CTU-B06	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14B30ATD-F07	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14B30ATU-A02	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14B30BTD-F09	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
