Sample	ASV	Prevalence_Compartment	Relative_abundance	Compartment	Species	Phylum	Soil_div
gyrB-Boston-AF-1	ASV400	Seed	0.092621179	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Boston-AF-2	ASV400	Seed	1.251340722	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Boston-AF-3	ASV400	Seed	0.754400671	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Boston-AF-4	ASV400	Seed	0	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Boston-AF-5	ASV400	Seed	0.066115702	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Major-AF-1	ASV400	Seed	1.289398281	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-Major-AF-3	ASV400	Seed	0.418060201	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Boston-1	ASV400	Seed	0.155560715	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Boston-2	ASV400	Seed	0.088132128	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Boston-3	ASV400	Seed	0.512214342	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Boston-4	ASV400	Seed	0.079407619	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Boston-5	ASV400	Seed	0.04582274	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Major-1	ASV400	Seed	0.104901774	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Major-2	ASV400	Seed	0.094441678	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Major-3	ASV400	Seed	0.156511611	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Major-4	ASV400	Seed	0.149319766	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
gyrB-AF-2017-Major-5	ASV400	Seed	0.229525713	Seed	Sphingobium yanoikuyae	Proteobacteria	ns
P14B20ATD-E07	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B20ATU-H01	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B20BTD-E09	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B20BTU-H03	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B20CTD-E11	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B20CTU-H05	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B26ATD-G07	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	Low
P14B26ATU-B02	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	Low
P14B26BTD-G09	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	Low
P14B26BTU-B04	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	Low
P14B26CTD-G11	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	Low
P14B26CTU-B06	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	Low
P14B30ATD-F07	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B30ATU-A02	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B30BTD-F09	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B30BTU-A04	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B30CTD-F11	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	High
P14B30CTU-A06	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	High
P14B36ATD-H07	ASV400	Seed	0	Root	Sphingobium yanoikuyae	Proteobacteria	Low
P14B36ATU-C02	ASV400	Seed	0	Stem	Sphingobium yanoikuyae	Proteobacteria	Low
