"","Root","Seed","Soil","Stem"
"ASV1",0,1,1,0
"ASV2",1,0,1,1
"ASV3",1,1,0,0
"ASV4",1,0,1,1
"ASV6",1,0,1,1
"ASV7",1,1,1,0
"ASV8",1,0,1,0
"ASV11",0,1,0,0
"ASV12",0,0,0,1
"ASV13",1,0,1,1
"ASV16",0,1,1,0
"ASV17",0,0,1,0
"ASV18",1,0,1,1
"ASV19",0,1,0,0
"ASV20",0,1,0,0
"ASV21",0,1,0,0
"ASV22",0,1,0,0
"ASV23",1,0,1,0
"ASV24",0,1,0,0
"ASV25",0,1,0,0
"ASV26",1,0,1,0
"ASV27",0,1,0,0
"ASV28",0,0,1,0
"ASV29",1,0,1,1
"ASV30",1,0,1,1
"ASV31",0,1,0,0
"ASV32",1,0,1,1
"ASV33",0,1,0,0
"ASV34",1,0,1,1
"ASV35",1,0,1,1
"ASV36",0,1,1,0
"ASV37",0,1,0,0
"ASV38",0,0,1,0
"ASV39",0,1,0,0
"ASV40",1,0,1,1
"ASV41",0,1,0,0
"ASV42",0,1,0,1
"ASV43",1,0,0,1
"ASV45",0,1,0,0
"ASV46",0,0,1,0
"ASV47",1,0,1,1
"ASV49",1,0,1,1
"ASV50",0,0,1,0
"ASV51",0,0,1,0
"ASV52",1,0,1,0
"ASV53",1,0,0,0
"ASV54",0,1,0,0
"ASV55",1,0,1,1
"ASV57",0,0,1,0
"ASV58",0,1,0,0
"ASV59",1,0,1,1
"ASV60",0,1,0,0
"ASV62",1,0,1,1
"ASV63",1,0,1,1
"ASV64",0,1,0,0
"ASV65",1,0,0,1
"ASV67",0,1,1,0
"ASV69",0,1,0,0
"ASV70",0,1,0,0
"ASV71",0,0,1,0
"ASV72",0,1,1,0
"ASV73",0,1,0,0
"ASV74",1,0,0,0
"ASV75",1,0,1,0
"ASV76",0,1,0,0
"ASV78",0,1,0,0
"ASV82",0,0,1,0
"ASV83",0,1,0,0
"ASV84",0,1,0,0
"ASV86",0,1,0,0
"ASV87",0,0,1,0
"ASV88",1,0,0,1
"ASV90",0,1,0,0
"ASV91",0,0,1,0
"ASV92",0,0,1,0
"ASV93",0,0,1,0
"ASV94",0,1,0,0
"ASV95",0,0,1,0
"ASV96",1,0,1,1
"ASV97",0,1,0,0
"ASV99",0,1,0,0
"ASV100",1,0,0,1
"ASV101",1,0,0,0
"ASV102",0,1,0,0
"ASV103",0,1,0,0
"ASV104",0,0,1,0
"ASV105",0,1,0,0
"ASV106",1,0,0,1
"ASV107",0,0,1,0
"ASV108",0,0,1,0
"ASV109",0,1,0,0
"ASV110",0,1,1,0
"ASV111",0,1,0,0
"ASV113",0,0,1,0
"ASV114",0,1,0,0
"ASV118",0,0,1,0
"ASV120",0,0,1,0
"ASV124",0,0,1,0
"ASV125",0,0,0,1
"ASV126",0,0,1,0
"ASV127",0,1,0,0
"ASV133",0,0,1,0
"ASV134",1,0,0,1
"ASV140",1,0,0,1
"ASV141",1,0,1,0
"ASV142",0,0,1,0
"ASV143",0,0,0,1
"ASV144",0,1,0,0
"ASV146",1,0,1,0
"ASV148",0,1,0,0
"ASV149",0,1,0,0
"ASV150",0,1,0,0
"ASV155",0,0,1,0
"ASV156",0,0,0,1
"ASV161",0,0,0,1
"ASV163",0,0,1,0
"ASV164",0,0,1,0
"ASV166",1,0,0,0
