"","Root","Seed","Soil","Stem"
"ASV1",0,1,1,0
"ASV2",1,0,1,1
"ASV3",0,1,0,1
"ASV4",1,0,1,1
"ASV5",1,0,1,1
"ASV6",0,0,1,0
"ASV7",1,1,1,1
"ASV8",1,0,1,1
"ASV11",0,1,1,1
"ASV14",0,0,0,1
"ASV16",0,1,0,0
"ASV17",1,0,1,0
"ASV18",1,0,1,1
"ASV19",0,1,0,0
"ASV20",0,1,0,1
"ASV21",0,1,0,0
"ASV22",0,1,0,1
"ASV23",1,0,1,0
"ASV24",0,1,0,0
"ASV25",0,1,0,0
"ASV26",1,0,1,0
"ASV27",0,1,0,0
"ASV29",1,0,1,1
"ASV31",0,1,0,0
"ASV32",1,0,1,1
"ASV33",0,1,0,0
"ASV36",0,1,0,0
"ASV37",0,1,1,0
"ASV38",0,0,1,0
"ASV39",0,1,1,0
"ASV41",0,1,0,0
"ASV42",1,1,0,1
"ASV45",0,1,0,0
"ASV47",1,0,1,1
"ASV48",1,0,1,1
"ASV54",0,1,0,0
"ASV58",0,1,0,0
"ASV60",0,1,0,0
"ASV64",0,1,0,0
"ASV66",1,0,0,1
"ASV67",0,1,0,0
"ASV68",1,0,0,1
"ASV69",0,1,0,0
"ASV70",0,1,0,0
"ASV71",0,0,1,0
"ASV72",0,1,0,0
"ASV73",0,1,0,0
"ASV75",0,0,1,0
"ASV76",0,1,0,0
"ASV77",1,0,0,1
"ASV78",0,1,0,0
"ASV79",0,0,1,0
"ASV83",0,1,0,0
"ASV84",0,1,0,0
"ASV85",1,0,0,0
"ASV86",0,1,0,0
"ASV90",0,1,0,0
"ASV94",0,1,0,0
"ASV97",0,1,0,0
"ASV99",0,1,0,0
"ASV102",0,1,0,0
"ASV103",0,1,0,0
"ASV105",0,1,0,0
"ASV108",0,0,1,0
"ASV109",0,1,0,0
"ASV110",0,1,0,0
"ASV111",0,1,0,0
"ASV112",0,0,1,0
"ASV114",0,1,0,0
"ASV115",0,0,0,1
"ASV117",1,0,0,1
"ASV124",0,0,1,0
"ASV127",0,1,0,0
"ASV136",0,0,1,0
"ASV141",0,0,1,1
"ASV144",0,1,0,0
"ASV148",0,1,0,0
"ASV149",0,1,0,0
"ASV150",0,1,0,0
"ASV153",1,0,1,0
"ASV154",1,0,0,1
"ASV155",0,0,1,0
"ASV160",1,0,0,1
"ASV170",0,1,0,0
"ASV171",0,0,1,0
"ASV175",0,0,1,0
"ASV176",0,1,0,0
"ASV177",1,0,0,1
"ASV179",0,1,0,0
"ASV196",0,1,0,0
"ASV197",0,0,1,0
"ASV201",0,1,0,0
"ASV202",0,0,1,0
"ASV206",0,0,1,0
"ASV207",0,0,1,0
"ASV208",0,0,1,0
"ASV209",0,1,0,0
"ASV219",0,0,1,0
"ASV228",0,0,1,0
"ASV234",0,1,0,0
"ASV242",1,0,0,0
"ASV252",0,1,0,0
"ASV261",0,0,1,0
"ASV262",0,1,0,0
"ASV264",0,0,1,0
"ASV265",1,0,0,0
"ASV273",0,1,0,0
"ASV283",0,0,1,0
"ASV285",0,0,1,0
"ASV287",0,1,0,0
"ASV288",1,0,0,1
"ASV296",0,0,1,0
"ASV297",0,1,0,0
"ASV298",0,1,0,0
"ASV301",1,0,1,0
"ASV315",0,1,0,0
"ASV318",0,1,0,0
"ASV323",0,0,1,0
