"","Root","Seed","Soil","Stem"
"ASV1",0,1,0,0
"ASV2",1,0,0,1
"ASV4",1,0,1,1
"ASV5",1,0,1,1
"ASV6",0,1,0,0
"ASV7",1,0,0,1
"ASV9",0,1,0,0
"ASV11",0,1,0,0
"ASV12",0,0,0,1
"ASV13",1,0,1,1
"ASV15",0,1,0,0
"ASV16",0,1,0,0
"ASV17",0,0,0,1
"ASV18",0,1,0,0
"ASV19",1,0,1,1
"ASV20",1,0,1,1
"ASV21",1,0,1,1
"ASV22",1,0,1,1
"ASV23",1,0,1,1
"ASV24",1,0,1,1
"ASV25",1,0,1,1
"ASV27",0,0,1,0
"ASV28",0,1,0,0
"ASV29",1,0,0,1
"ASV30",1,0,1,1
"ASV31",0,1,0,0
"ASV33",1,0,1,1
"ASV36",1,0,1,1
"ASV37",0,0,1,0
"ASV38",0,0,0,1
"ASV39",1,0,0,0
"ASV40",0,0,0,1
"ASV41",1,0,0,1
"ASV42",1,0,0,1
"ASV43",0,0,1,0
"ASV44",0,1,0,0
"ASV47",0,1,0,0
"ASV49",0,0,1,1
"ASV52",1,0,0,1
"ASV54",1,0,1,1
"ASV55",1,0,1,1
"ASV58",0,0,1,1
"ASV59",0,0,1,0
"ASV60",1,0,1,1
"ASV62",1,0,1,1
"ASV63",0,0,1,0
"ASV65",0,1,0,0
"ASV66",1,0,1,1
"ASV69",1,0,1,1
"ASV70",0,0,0,1
"ASV71",0,0,0,1
"ASV72",0,1,0,0
"ASV73",1,0,0,1
"ASV74",1,0,1,1
"ASV75",1,0,0,1
"ASV76",1,0,0,1
"ASV77",1,0,1,1
"ASV78",0,1,0,0
"ASV79",0,1,0,0
"ASV80",0,1,0,0
"ASV81",0,1,0,0
"ASV82",1,0,0,1
"ASV83",0,0,0,1
"ASV84",1,0,1,1
"ASV85",0,1,0,0
"ASV86",1,0,1,1
"ASV87",1,0,1,1
"ASV88",0,1,0,0
"ASV89",1,0,0,1
"ASV90",0,0,1,1
"ASV91",0,1,0,0
"ASV92",1,0,1,1
"ASV93",0,0,1,1
"ASV94",1,0,1,1
"ASV95",0,1,0,0
"ASV96",0,1,0,0
"ASV97",0,1,0,0
"ASV98",0,0,1,1
"ASV99",1,0,1,1
"ASV100",1,0,1,1
"ASV102",0,1,0,0
"ASV103",1,0,1,1
"ASV105",0,0,1,0
"ASV106",1,0,1,1
"ASV107",0,0,1,0
"ASV108",0,1,0,0
"ASV109",0,1,0,0
"ASV111",1,0,0,1
"ASV112",1,0,1,0
"ASV113",1,0,1,1
"ASV114",1,0,1,1
"ASV115",1,0,1,1
"ASV116",0,1,0,0
"ASV117",1,0,0,1
"ASV118",0,1,0,0
"ASV119",1,0,1,1
"ASV120",1,0,0,1
"ASV122",1,0,1,1
"ASV124",1,0,0,1
"ASV125",1,0,1,1
"ASV127",1,0,1,1
"ASV129",0,1,0,0
"ASV130",0,0,1,1
"ASV131",1,0,1,0
"ASV132",0,1,0,0
"ASV134",1,0,1,1
"ASV135",1,0,1,0
"ASV136",0,1,0,0
"ASV137",1,0,0,1
"ASV138",1,0,1,1
"ASV140",0,1,0,0
"ASV141",1,0,0,0
"ASV142",0,0,1,0
"ASV143",0,0,0,1
"ASV144",0,0,1,1
"ASV145",1,0,1,1
"ASV146",1,0,1,1
"ASV147",0,0,1,1
"ASV148",1,0,1,1
"ASV149",0,0,1,0
"ASV150",1,0,1,1
"ASV151",0,0,0,1
"ASV152",1,0,0,1
"ASV153",0,1,0,0
"ASV155",1,0,1,1
"ASV156",0,0,0,1
"ASV157",1,0,0,0
"ASV158",1,0,1,1
"ASV160",1,0,1,1
"ASV162",1,0,0,1
"ASV163",0,1,0,0
"ASV164",1,0,1,1
"ASV165",1,0,1,1
"ASV167",0,0,0,1
"ASV168",1,0,1,1
"ASV169",1,0,0,0
"ASV170",1,0,0,1
"ASV171",1,0,1,1
"ASV172",1,0,0,1
"ASV173",0,0,1,0
"ASV174",1,0,1,1
"ASV175",0,0,0,1
"ASV176",1,0,1,1
"ASV177",1,0,0,0
"ASV178",1,0,0,1
"ASV179",1,0,1,1
"ASV181",1,0,0,1
"ASV182",1,0,0,0
"ASV184",0,1,0,0
"ASV185",1,0,0,1
"ASV186",0,1,0,0
"ASV188",0,1,0,0
"ASV189",1,0,1,1
"ASV190",0,1,0,0
"ASV191",1,0,0,1
"ASV192",0,1,0,0
"ASV193",1,0,0,1
"ASV194",1,0,0,1
"ASV195",0,0,1,0
"ASV196",0,0,1,0
"ASV197",0,1,0,0
"ASV198",0,1,0,0
"ASV199",1,0,0,1
"ASV200",1,0,0,1
"ASV203",0,1,0,0
"ASV204",1,0,1,0
"ASV205",0,0,1,0
"ASV206",0,1,0,0
"ASV207",0,1,0,0
"ASV208",1,0,1,1
"ASV209",0,0,1,0
"ASV210",0,0,0,1
"ASV211",1,0,1,1
"ASV212",1,0,1,0
"ASV213",1,1,0,0
"ASV214",1,0,0,1
"ASV216",0,0,0,1
"ASV217",1,0,0,0
"ASV218",1,0,0,1
"ASV219",1,0,0,1
"ASV220",1,0,0,1
"ASV223",0,0,1,0
"ASV224",0,1,0,0
"ASV225",1,0,0,1
"ASV227",1,0,1,1
"ASV228",0,0,1,1
"ASV229",1,0,1,1
"ASV230",0,0,1,0
"ASV231",1,0,0,1
"ASV232",0,0,0,1
"ASV233",1,0,1,1
"ASV235",1,0,1,1
"ASV236",1,0,1,0
"ASV237",0,1,0,0
"ASV239",1,0,0,1
"ASV240",0,0,1,0
"ASV241",1,0,1,1
"ASV242",1,0,0,0
"ASV243",0,0,1,0
"ASV244",1,0,0,0
"ASV245",1,0,0,1
"ASV247",1,0,1,0
"ASV248",1,0,0,1
"ASV250",0,1,0,0
"ASV251",1,1,1,1
"ASV253",1,0,1,1
"ASV254",1,0,1,1
"ASV255",1,0,1,1
"ASV259",1,0,0,1
"ASV260",0,1,0,0
"ASV261",0,0,1,1
"ASV262",0,0,1,0
"ASV263",0,0,1,0
"ASV266",1,0,0,1
"ASV268",1,0,1,1
"ASV269",0,0,1,0
"ASV270",1,0,0,1
"ASV271",0,0,0,1
"ASV273",1,1,1,1
"ASV274",1,0,1,1
"ASV275",1,0,1,1
"ASV276",0,0,0,1
"ASV277",1,0,1,1
"ASV278",1,0,1,1
"ASV284",1,0,1,1
"ASV285",1,0,1,1
"ASV287",1,0,1,1
"ASV288",0,1,0,0
"ASV289",1,0,1,1
"ASV290",1,0,1,1
"ASV291",0,1,0,0
"ASV293",0,1,0,0
"ASV294",0,0,1,1
"ASV296",1,0,1,0
"ASV297",1,0,0,1
"ASV298",0,0,1,1
"ASV300",1,0,0,1
"ASV301",0,1,0,0
"ASV302",1,0,0,1
"ASV304",1,0,0,1
"ASV305",1,0,1,1
"ASV306",1,0,0,1
"ASV307",1,0,0,0
"ASV308",1,0,1,1
"ASV309",1,0,1,1
"ASV311",0,1,0,0
"ASV312",1,0,1,1
"ASV313",1,0,1,1
"ASV314",1,1,1,1
"ASV315",1,0,1,1
"ASV316",0,1,0,0
"ASV317",0,0,0,1
"ASV318",1,0,1,0
"ASV319",1,0,1,1
"ASV320",0,0,1,1
"ASV321",0,1,0,0
"ASV322",1,0,1,1
"ASV324",0,1,0,0
"ASV326",1,0,1,1
"ASV328",0,0,1,0
"ASV329",0,0,1,0
"ASV330",0,1,0,0
"ASV331",1,0,1,1
"ASV332",0,1,0,0
"ASV333",0,0,0,1
"ASV334",1,1,0,1
"ASV335",1,0,0,1
"ASV336",1,0,0,0
"ASV337",1,0,1,1
"ASV340",0,1,0,0
"ASV341",1,0,1,1
"ASV342",1,0,0,1
"ASV344",1,0,1,1
"ASV345",0,0,1,0
"ASV346",0,0,1,0
"ASV348",1,0,1,1
"ASV349",1,0,1,1
"ASV351",0,1,0,0
"ASV352",1,0,0,1
"ASV353",1,0,1,1
"ASV355",1,0,0,0
"ASV356",1,0,1,1
"ASV357",1,0,1,1
"ASV358",1,0,0,1
"ASV359",1,0,1,1
"ASV360",0,1,0,0
"ASV361",1,0,0,0
"ASV362",0,0,0,1
"ASV363",0,0,0,1
"ASV365",1,0,0,1
"ASV367",0,1,0,0
"ASV368",0,1,0,0
"ASV371",0,1,0,0
"ASV372",1,0,1,1
"ASV373",0,1,0,0
"ASV376",1,0,0,0
"ASV377",0,1,0,0
"ASV378",1,0,1,1
"ASV379",0,1,0,0
"ASV380",0,1,0,0
"ASV381",1,0,1,1
"ASV382",0,0,0,1
"ASV383",1,0,1,1
"ASV385",0,0,1,1
"ASV386",0,1,0,0
"ASV387",0,1,0,0
"ASV388",1,0,1,1
"ASV389",1,0,1,1
"ASV390",1,0,1,0
"ASV393",1,0,0,1
"ASV394",0,1,0,0
"ASV395",1,0,0,1
"ASV396",0,1,0,0
"ASV397",1,0,0,1
"ASV398",0,0,1,1
"ASV399",0,1,0,0
"ASV400",0,1,0,0
"ASV401",0,1,0,0
"ASV403",1,0,0,1
"ASV404",1,0,1,1
"ASV405",0,1,0,0
"ASV406",1,0,1,1
"ASV407",1,0,1,1
"ASV408",0,1,0,0
"ASV409",0,1,0,0
"ASV410",0,1,0,0
"ASV411",1,0,0,1
"ASV412",0,0,1,0
"ASV414",1,0,0,1
"ASV416",0,1,0,0
"ASV419",0,1,0,1
"ASV420",0,1,0,0
"ASV423",1,0,0,1
"ASV424",0,0,1,0
"ASV425",1,0,1,0
"ASV426",0,0,1,0
"ASV427",0,1,0,0
"ASV428",1,0,1,1
"ASV429",1,0,1,1
"ASV430",1,0,1,0
"ASV431",1,0,1,1
"ASV432",0,1,0,0
"ASV434",1,0,0,1
"ASV435",1,0,1,1
"ASV436",1,0,0,1
"ASV437",1,0,1,1
"ASV438",0,1,0,0
"ASV439",1,0,1,1
"ASV440",0,0,1,0
"ASV442",0,1,0,0
"ASV444",1,0,1,1
"ASV446",0,1,0,0
"ASV447",0,0,1,0
"ASV448",1,1,0,1
"ASV451",0,1,0,0
"ASV454",0,0,1,1
"ASV455",0,0,0,1
"ASV456",1,0,1,1
"ASV458",0,1,0,1
"ASV459",1,0,1,1
"ASV460",0,0,1,1
"ASV461",0,1,0,0
"ASV462",1,0,0,1
"ASV463",0,0,1,0
"ASV464",1,0,1,1
"ASV465",1,0,0,1
"ASV466",0,0,0,1
"ASV468",0,0,1,0
"ASV469",1,0,0,1
"ASV470",0,0,1,0
"ASV471",0,0,0,1
"ASV472",1,0,0,1
"ASV473",1,0,1,0
"ASV474",1,0,1,1
"ASV477",1,0,0,1
"ASV478",0,0,0,1
"ASV479",0,1,1,1
"ASV480",1,1,0,0
"ASV481",1,0,1,1
"ASV486",0,1,0,0
"ASV488",1,0,0,0
"ASV489",1,0,1,1
"ASV491",0,0,1,0
"ASV493",1,0,1,1
"ASV494",0,1,0,0
"ASV495",0,1,0,0
"ASV497",0,1,0,0
"ASV498",1,0,1,1
"ASV499",0,0,1,0
"ASV500",1,0,0,1
"ASV502",0,1,0,0
"ASV503",0,1,0,0
"ASV504",1,0,1,1
"ASV505",0,0,1,1
"ASV506",0,1,0,0
"ASV507",1,0,1,1
"ASV509",1,0,1,1
"ASV510",1,0,1,0
"ASV511",1,0,1,1
"ASV512",1,0,1,1
"ASV513",1,0,1,0
"ASV514",1,0,1,0
"ASV515",1,0,0,0
"ASV516",1,0,1,0
"ASV517",0,1,0,0
"ASV519",0,1,0,0
"ASV522",1,0,1,1
"ASV523",0,0,0,1
"ASV524",0,1,0,0
"ASV525",1,0,1,0
"ASV526",0,1,0,0
"ASV527",1,0,1,1
"ASV530",0,1,0,0
"ASV531",0,0,1,0
"ASV532",1,0,0,1
"ASV533",1,0,1,1
"ASV534",0,1,0,0
"ASV535",1,0,1,1
"ASV536",1,0,0,1
"ASV539",1,0,1,1
"ASV540",1,0,1,1
"ASV543",1,0,1,1
