"","Root","Seed","Soil","Stem"
"ASV1",0,1,0,0
"ASV2",1,0,0,1
"ASV4",1,0,1,1
"ASV5",1,0,1,1
"ASV6",0,1,0,0
"ASV8",1,0,1,1
"ASV9",0,1,0,0
"ASV11",0,1,0,0
"ASV12",1,0,1,1
"ASV13",1,0,1,1
"ASV14",1,0,1,1
"ASV15",0,1,0,0
"ASV16",0,1,0,0
"ASV18",0,1,0,0
"ASV19",1,0,1,1
"ASV20",1,0,1,1
"ASV21",1,0,1,1
"ASV22",1,0,1,1
"ASV23",1,0,1,0
"ASV24",0,0,0,1
"ASV25",1,0,1,0
"ASV26",1,0,1,1
"ASV27",1,0,1,1
"ASV28",0,1,0,0
"ASV29",0,0,0,1
"ASV30",1,0,1,1
"ASV31",0,1,0,0
"ASV32",1,0,0,1
"ASV33",1,0,1,1
"ASV34",1,0,1,1
"ASV35",1,0,1,1
"ASV36",1,0,1,1
"ASV37",1,0,1,1
"ASV38",1,0,1,1
"ASV39",1,0,1,1
"ASV41",0,0,0,1
"ASV42",1,0,1,1
"ASV43",1,0,1,1
"ASV44",0,1,0,0
"ASV47",0,1,0,0
"ASV48",1,0,1,1
"ASV49",1,0,1,1
"ASV51",1,0,1,1
"ASV52",1,0,1,1
"ASV53",1,0,0,1
"ASV54",1,0,1,1
"ASV55",1,0,1,1
"ASV58",1,0,1,1
"ASV59",1,0,1,1
"ASV60",1,0,1,1
"ASV62",0,0,1,0
"ASV63",1,0,1,1
"ASV64",0,0,0,1
"ASV65",0,1,0,0
"ASV67",1,0,1,1
"ASV68",1,0,1,1
"ASV69",1,0,1,1
"ASV70",0,0,0,1
"ASV71",1,0,1,1
"ASV72",0,1,0,0
"ASV74",1,0,0,1
"ASV75",1,0,1,1
"ASV77",1,0,1,1
"ASV78",0,1,0,0
"ASV79",0,1,0,0
"ASV80",0,1,0,0
"ASV81",0,1,0,0
"ASV82",1,0,1,1
"ASV84",1,0,1,1
"ASV85",0,1,0,0
"ASV86",1,0,1,1
"ASV87",1,0,1,1
"ASV88",0,1,0,0
"ASV89",1,0,1,1
"ASV90",0,0,0,1
"ASV91",0,1,0,0
"ASV92",0,0,1,0
"ASV93",1,0,1,1
"ASV94",1,0,0,1
"ASV95",0,1,0,0
"ASV96",0,1,0,0
"ASV97",0,1,0,0
"ASV99",0,0,1,0
"ASV100",1,0,1,1
"ASV102",0,1,0,0
"ASV103",0,0,1,1
"ASV104",1,0,1,1
"ASV105",1,0,1,1
"ASV106",1,0,0,1
"ASV107",1,0,1,1
"ASV108",0,1,0,0
"ASV109",0,1,0,0
"ASV112",1,0,1,0
"ASV113",1,0,1,1
"ASV115",1,0,0,1
"ASV116",0,1,0,0
"ASV118",0,1,0,0
"ASV119",1,0,1,1
"ASV120",1,0,0,1
"ASV121",1,0,0,1
"ASV122",1,0,1,1
"ASV123",1,0,0,1
"ASV125",1,0,1,1
"ASV126",1,0,1,1
"ASV127",1,0,1,1
"ASV128",1,0,1,1
"ASV129",0,1,0,0
"ASV130",1,0,1,1
"ASV131",1,0,1,1
"ASV132",0,1,0,0
"ASV133",1,0,1,1
"ASV134",1,0,1,1
"ASV135",1,0,1,0
"ASV136",0,1,0,0
"ASV137",1,0,1,1
"ASV139",1,0,1,1
"ASV140",0,1,0,0
"ASV141",1,0,1,1
"ASV142",1,0,1,1
"ASV144",1,0,1,1
"ASV145",0,0,1,0
"ASV146",1,0,1,1
"ASV147",1,0,1,1
"ASV148",1,0,1,1
"ASV149",1,0,1,1
"ASV150",1,0,1,1
"ASV152",1,0,0,1
"ASV153",0,1,0,0
"ASV156",0,0,0,1
"ASV158",1,0,1,1
"ASV159",1,0,1,1
"ASV160",1,0,1,1
"ASV161",1,0,1,1
"ASV163",0,1,0,0
"ASV164",1,0,1,1
"ASV165",1,0,1,1
"ASV166",1,0,1,1
"ASV167",1,0,1,1
"ASV169",1,0,1,1
"ASV171",1,0,1,1
"ASV173",1,0,1,1
"ASV174",1,0,1,1
"ASV175",1,0,1,1
"ASV179",1,0,1,1
"ASV180",1,0,1,1
"ASV181",1,0,1,1
"ASV182",1,0,1,1
"ASV183",1,0,1,1
"ASV184",0,1,0,0
"ASV185",1,0,1,1
"ASV186",0,1,0,0
"ASV187",1,0,1,1
"ASV188",0,1,0,0
"ASV190",0,1,0,0
"ASV192",0,1,0,0
"ASV193",1,0,1,1
"ASV194",1,0,1,0
"ASV195",1,0,1,1
"ASV196",1,0,1,1
"ASV197",0,1,0,0
"ASV198",0,1,0,0
"ASV199",1,0,0,1
"ASV200",1,0,1,1
"ASV201",1,0,1,1
"ASV202",1,0,1,1
"ASV203",0,1,0,0
"ASV205",1,0,1,0
"ASV206",0,1,0,0
"ASV207",0,1,0,0
"ASV209",1,0,1,1
"ASV210",0,0,0,1
"ASV212",1,0,1,0
"ASV213",0,1,0,0
"ASV215",1,0,1,1
"ASV217",1,0,1,1
"ASV222",0,0,0,1
"ASV223",1,0,1,1
"ASV224",0,1,0,0
"ASV226",1,0,1,1
"ASV227",0,0,0,1
"ASV228",1,0,1,0
"ASV230",1,0,1,1
"ASV232",1,0,1,1
"ASV234",1,0,1,1
"ASV235",1,0,1,1
"ASV237",0,1,0,0
"ASV238",1,0,1,1
"ASV240",1,0,1,1
"ASV242",1,0,1,1
"ASV243",1,0,1,1
"ASV244",1,0,0,1
"ASV247",1,0,1,1
"ASV248",1,0,1,1
"ASV249",1,0,1,1
"ASV250",0,1,0,0
"ASV251",0,1,1,1
"ASV252",1,0,1,1
"ASV253",1,0,1,1
"ASV254",1,0,1,1
"ASV255",1,0,1,1
"ASV256",1,0,1,1
"ASV257",1,0,1,1
"ASV258",1,0,1,1
"ASV259",1,0,1,1
"ASV260",0,1,0,0
"ASV261",1,0,1,1
"ASV262",1,0,1,1
"ASV263",1,0,1,1
"ASV264",1,0,0,0
"ASV265",1,0,1,1
"ASV267",1,0,1,1
"ASV268",1,0,1,1
"ASV269",1,0,1,1
"ASV270",1,0,1,1
"ASV271",1,0,1,1
"ASV272",1,0,1,1
"ASV273",0,1,0,0
"ASV275",1,0,1,1
"ASV276",1,0,1,1
"ASV277",1,0,1,1
"ASV279",1,0,1,1
"ASV280",1,0,1,1
"ASV281",1,0,1,1
"ASV283",1,0,1,1
"ASV284",1,0,1,1
"ASV285",1,0,1,1
"ASV287",0,0,1,0
"ASV288",0,1,0,0
"ASV291",0,1,0,0
"ASV293",0,1,0,0
"ASV294",1,0,1,1
"ASV295",1,0,1,1
"ASV298",0,0,1,0
"ASV301",0,1,0,0
"ASV303",1,0,1,1
"ASV307",1,0,1,1
"ASV308",1,0,1,1
"ASV310",1,0,1,1
"ASV311",0,1,0,0
"ASV312",1,0,0,1
"ASV313",1,0,1,1
"ASV314",1,1,1,1
"ASV315",0,0,1,1
"ASV316",0,1,0,0
"ASV318",1,0,1,0
"ASV319",1,0,0,1
"ASV320",1,0,1,1
"ASV321",0,1,0,0
"ASV322",1,0,0,0
"ASV324",0,1,0,0
"ASV325",1,0,1,1
"ASV327",1,0,1,1
"ASV328",1,0,1,1
"ASV329",1,0,1,1
"ASV330",0,1,0,0
"ASV331",1,0,1,1
"ASV332",0,1,0,0
"ASV333",1,0,1,1
"ASV334",0,1,0,1
"ASV335",1,0,1,1
"ASV336",1,0,1,1
"ASV337",1,0,1,1
"ASV338",1,0,1,1
"ASV339",1,0,1,0
"ASV340",0,1,0,0
"ASV341",1,0,1,1
"ASV342",1,0,1,1
"ASV343",1,0,1,1
"ASV345",1,0,1,0
"ASV346",1,0,1,1
"ASV351",0,1,0,0
"ASV353",0,0,1,0
"ASV354",1,0,1,1
"ASV355",1,0,1,1
"ASV356",1,0,0,1
"ASV357",0,0,1,1
"ASV360",0,1,0,0
"ASV361",1,0,1,1
"ASV362",1,0,1,1
"ASV363",0,0,0,1
"ASV365",1,0,1,1
"ASV367",0,1,0,0
"ASV368",0,1,0,0
"ASV369",1,0,1,1
"ASV371",0,1,0,0
"ASV372",1,0,1,1
"ASV373",0,1,0,0
"ASV374",1,0,1,1
"ASV375",1,0,1,1
"ASV376",1,0,1,1
"ASV377",0,1,0,0
"ASV379",0,1,0,0
"ASV380",0,1,0,0
"ASV381",1,0,1,1
"ASV383",1,0,1,1
"ASV384",1,0,1,1
"ASV386",0,1,0,0
"ASV387",0,1,0,0
"ASV388",1,0,1,1
"ASV389",1,0,1,1
"ASV390",1,0,1,0
"ASV392",1,0,1,1
"ASV393",1,0,0,1
"ASV394",0,1,0,0
"ASV396",0,1,0,0
"ASV399",0,1,0,0
"ASV400",0,1,0,0
"ASV401",0,1,0,0
"ASV402",1,0,1,1
"ASV405",0,1,0,0
"ASV407",1,0,1,1
"ASV408",0,1,0,0
"ASV409",0,1,0,0
"ASV410",0,1,0,0
"ASV412",1,0,1,1
"ASV413",1,0,1,1
"ASV416",0,1,0,0
"ASV417",1,0,1,1
"ASV418",1,0,1,1
"ASV419",0,1,0,0
"ASV420",0,1,0,0
"ASV421",1,0,1,1
"ASV424",1,0,1,0
"ASV426",0,0,0,1
"ASV427",0,1,0,0
"ASV429",1,0,1,1
"ASV430",1,0,1,1
"ASV432",0,1,0,0
"ASV433",0,0,1,1
"ASV436",1,0,1,1
"ASV438",0,1,0,0
"ASV439",1,0,0,1
"ASV440",1,0,1,1
"ASV441",1,0,1,1
"ASV442",0,1,0,0
"ASV443",1,0,1,1
"ASV445",1,0,1,1
"ASV446",0,1,0,0
"ASV447",1,0,1,0
"ASV448",0,1,0,0
"ASV449",1,0,1,1
"ASV451",0,1,0,0
"ASV452",1,0,0,1
"ASV454",1,0,1,1
"ASV455",1,0,1,1
"ASV456",0,0,0,1
"ASV458",1,1,1,1
"ASV460",1,0,1,1
"ASV461",0,1,0,0
"ASV462",1,0,1,1
"ASV463",1,0,1,1
"ASV464",1,0,1,1
"ASV465",1,0,1,1
"ASV466",1,0,1,1
"ASV467",1,0,0,1
"ASV468",1,0,1,1
"ASV469",1,0,0,1
"ASV470",1,0,1,1
"ASV472",1,0,0,1
"ASV473",1,0,1,1
"ASV474",1,0,1,1
"ASV475",1,0,1,1
"ASV478",1,0,0,1
"ASV479",0,1,0,0
"ASV480",1,1,1,1
"ASV481",1,0,1,1
"ASV482",1,0,1,1
"ASV483",1,0,1,1
"ASV484",1,0,1,1
"ASV486",0,1,0,0
"ASV487",1,0,1,1
"ASV490",0,0,0,1
"ASV491",1,0,1,0
"ASV492",1,0,1,1
"ASV494",0,1,0,0
"ASV495",0,1,0,0
"ASV497",0,1,0,0
"ASV498",1,0,1,1
"ASV499",1,0,1,1
"ASV502",0,1,0,0
"ASV503",0,1,0,0
"ASV504",1,0,1,1
"ASV506",0,1,0,0
"ASV507",1,0,1,1
"ASV509",1,0,1,1
"ASV510",1,0,1,1
"ASV511",1,0,0,1
"ASV513",1,0,1,1
"ASV514",1,0,1,1
"ASV515",1,0,1,1
"ASV516",1,0,1,0
"ASV517",0,1,0,0
"ASV518",1,0,1,1
"ASV519",0,1,0,0
"ASV521",1,0,1,1
"ASV522",0,0,1,0
"ASV523",1,0,1,1
"ASV524",0,1,0,0
"ASV525",1,0,1,1
"ASV526",0,1,0,0
"ASV527",1,0,1,1
"ASV528",1,0,0,1
"ASV529",1,0,1,1
"ASV530",0,1,0,0
"ASV531",0,0,1,0
"ASV533",0,0,0,1
"ASV534",0,1,0,0
"ASV535",1,0,1,1
"ASV537",1,0,0,1
"ASV538",0,0,1,0
"ASV539",1,0,1,1
"ASV540",1,0,1,1
"ASV541",1,0,1,1
"ASV543",1,0,1,1
"ASV544",0,1,0,0
"ASV545",1,0,1,1
"ASV546",1,1,1,1
"ASV548",0,1,0,0
"ASV549",0,0,1,0
"ASV552",0,0,1,0
"ASV553",1,0,1,0
"ASV559",0,1,0,0
