Combined	All	ASV	GxY	Soil_div	Rel_abund_Root	Compartment	Combined2
ASV1_BostonY1	HighRoot-BostonY1	ASV1	BostonY1	High 	0	Root	ASV1_High 
ASV1_BostonY2	HighRoot-BostonY2	ASV1	BostonY2	High 	0	Root	ASV1_High 
ASV1_MajorY1	HighRoot-MajorY1	ASV1	MajorY1	High 	0	Root	ASV1_High 
ASV1_MajorY2	HighRoot-MajorY2	ASV1	MajorY2	High 	0	Root	ASV1_High 
ASV1_BostonY1	LowRoot-BostonY1	ASV1	BostonY1	Low 	0	Root	ASV1_Low 
ASV1_BostonY2	LowRoot-BostonY2	ASV1	BostonY2	Low 	0	Root	ASV1_Low 
ASV1_MajorY1	LowRoot-MajorY1	ASV1	MajorY1	Low 	0	Root	ASV1_Low 
ASV1_MajorY2	LowRoot-MajorY2	ASV1	MajorY2	Low 	0	Root	ASV1_Low 
ASV2_BostonY1	HighRoot-BostonY1	ASV2	BostonY1	High 	4.877605013	Root	ASV2_High 
ASV2_BostonY2	HighRoot-BostonY2	ASV2	BostonY2	High 	1.723332697	Root	ASV2_High 
ASV2_MajorY1	HighRoot-MajorY1	ASV2	MajorY1	High 	4.503193484	Root	ASV2_High 
ASV2_MajorY2	HighRoot-MajorY2	ASV2	MajorY2	High 	0.811053185	Root	ASV2_High 
ASV2_BostonY1	LowRoot-BostonY1	ASV2	BostonY1	Low 	10.04802171	Root	ASV2_Low 
ASV2_BostonY2	LowRoot-BostonY2	ASV2	BostonY2	Low 	12.42236025	Root	ASV2_Low 
ASV2_MajorY1	LowRoot-MajorY1	ASV2	MajorY1	Low 	7.559814606	Root	ASV2_Low 
ASV2_MajorY2	LowRoot-MajorY2	ASV2	MajorY2	Low 	5.942558276	Root	ASV2_Low 
ASV4_BostonY1	HighRoot-BostonY1	ASV4	BostonY1	High 	1.664364257	Root	ASV4_High 
ASV4_BostonY2	HighRoot-BostonY2	ASV4	BostonY2	High 	2.207295474	Root	ASV4_High 
ASV4_MajorY1	HighRoot-MajorY1	ASV4	MajorY1	High 	1.179476896	Root	ASV4_High 
ASV4_MajorY2	HighRoot-MajorY2	ASV4	MajorY2	High 	1.230503525	Root	ASV4_High 
ASV4_BostonY1	LowRoot-BostonY1	ASV4	BostonY1	Low 	2.96286093	Root	ASV4_Low 
ASV4_BostonY2	LowRoot-BostonY2	ASV4	BostonY2	Low 	2.337989326	Root	ASV4_Low 
ASV4_MajorY1	LowRoot-MajorY1	ASV4	MajorY1	Low 	1.687763649	Root	ASV4_Low 
