Combined	All	ASV	Compartment	GxY	Soil_div	Rel_abund_Seed	Type
ASV1_BostonY2	nsSeed-BostonY2	ASV1	Seed	BostonY2	ns 	17.15846972	> 1%: Dominant
ASV1_MajorY1	nsSeed-MajorY1	ASV1	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1_MajorY2	nsSeed-MajorY2	ASV1	Seed	MajorY2	ns 	21.36567355	> 1%: Dominant
ASV100_BostonY1	nsSeed-BostonY1	ASV100	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV100_BostonY2	nsSeed-BostonY2	ASV100	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV100_MajorY1	nsSeed-MajorY1	ASV100	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV100_MajorY2	nsSeed-MajorY2	ASV100	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1000_BostonY1	nsSeed-BostonY1	ASV1000	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1000_BostonY2	nsSeed-BostonY2	ASV1000	Seed	BostonY2	ns 	0.001478153	< 0.01%: Rare
ASV1000_MajorY1	nsSeed-MajorY1	ASV1000	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1000_MajorY2	nsSeed-MajorY2	ASV1000	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1001_BostonY1	nsSeed-BostonY1	ASV1001	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1001_BostonY2	nsSeed-BostonY2	ASV1001	Seed	BostonY2	ns 	0.105224503	0.01<x<1%: Intermediate
ASV1001_MajorY1	nsSeed-MajorY1	ASV1001	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1001_MajorY2	nsSeed-MajorY2	ASV1001	Seed	MajorY2	ns 	0.008706148	< 0.01%: Rare
ASV1002_BostonY1	nsSeed-BostonY1	ASV1002	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1002_BostonY2	nsSeed-BostonY2	ASV1002	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1002_MajorY1	nsSeed-MajorY1	ASV1002	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1002_MajorY2	nsSeed-MajorY2	ASV1002	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1003_BostonY1	nsSeed-BostonY1	ASV1003	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1003_BostonY2	nsSeed-BostonY2	ASV1003	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1003_MajorY1	nsSeed-MajorY1	ASV1003	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1003_MajorY2	nsSeed-MajorY2	ASV1003	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1004_BostonY1	nsSeed-BostonY1	ASV1004	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1004_BostonY2	nsSeed-BostonY2	ASV1004	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1004_MajorY1	nsSeed-MajorY1	ASV1004	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1004_MajorY2	nsSeed-MajorY2	ASV1004	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1005_BostonY1	nsSeed-BostonY1	ASV1005	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1005_BostonY2	nsSeed-BostonY2	ASV1005	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1005_MajorY1	nsSeed-MajorY1	ASV1005	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1005_MajorY2	nsSeed-MajorY2	ASV1005	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1006_BostonY1	nsSeed-BostonY1	ASV1006	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1006_BostonY2	nsSeed-BostonY2	ASV1006	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1006_MajorY1	nsSeed-MajorY1	ASV1006	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1006_MajorY2	nsSeed-MajorY2	ASV1006	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1008_BostonY1	nsSeed-BostonY1	ASV1008	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1008_BostonY2	nsSeed-BostonY2	ASV1008	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1008_MajorY1	nsSeed-MajorY1	ASV1008	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1008_MajorY2	nsSeed-MajorY2	ASV1008	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1009_BostonY1	nsSeed-BostonY1	ASV1009	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1009_BostonY2	nsSeed-BostonY2	ASV1009	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1009_MajorY1	nsSeed-MajorY1	ASV1009	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1009_MajorY2	nsSeed-MajorY2	ASV1009	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1011_BostonY1	nsSeed-BostonY1	ASV1011	Seed	BostonY1	ns 	0.064666786	0.01<x<1%: Intermediate
ASV1011_BostonY2	nsSeed-BostonY2	ASV1011	Seed	BostonY2	ns 	0.013499295	0.01<x<1%: Intermediate
ASV1011_MajorY1	nsSeed-MajorY1	ASV1011	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1011_MajorY2	nsSeed-MajorY2	ASV1011	Seed	MajorY2	ns 	0.089386706	0.01<x<1%: Intermediate
ASV1012_BostonY1	nsSeed-BostonY1	ASV1012	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1012_BostonY2	nsSeed-BostonY2	ASV1012	Seed	BostonY2	ns 	0.047767057	0.01<x<1%: Intermediate
ASV1012_MajorY1	nsSeed-MajorY1	ASV1012	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1012_MajorY2	nsSeed-MajorY2	ASV1012	Seed	MajorY2	ns 	0.077440184	0.01<x<1%: Intermediate
ASV1013_BostonY1	nsSeed-BostonY1	ASV1013	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1013_BostonY2	nsSeed-BostonY2	ASV1013	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1013_MajorY1	nsSeed-MajorY1	ASV1013	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1013_MajorY2	nsSeed-MajorY2	ASV1013	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1014_BostonY1	nsSeed-BostonY1	ASV1014	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1014_BostonY2	nsSeed-BostonY2	ASV1014	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1014_MajorY1	nsSeed-MajorY1	ASV1014	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1014_MajorY2	nsSeed-MajorY2	ASV1014	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1015_BostonY1	nsSeed-BostonY1	ASV1015	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1015_BostonY2	nsSeed-BostonY2	ASV1015	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1015_MajorY1	nsSeed-MajorY1	ASV1015	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1015_MajorY2	nsSeed-MajorY2	ASV1015	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1016_BostonY1	nsSeed-BostonY1	ASV1016	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1016_BostonY2	nsSeed-BostonY2	ASV1016	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1016_MajorY1	nsSeed-MajorY1	ASV1016	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1016_MajorY2	nsSeed-MajorY2	ASV1016	Seed	MajorY2	ns 	0.113981839	0.01<x<1%: Intermediate
ASV1017_BostonY1	nsSeed-BostonY1	ASV1017	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1017_BostonY2	nsSeed-BostonY2	ASV1017	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1017_MajorY1	nsSeed-MajorY1	ASV1017	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1017_MajorY2	nsSeed-MajorY2	ASV1017	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1018_BostonY1	nsSeed-BostonY1	ASV1018	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1018_BostonY2	nsSeed-BostonY2	ASV1018	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1018_MajorY1	nsSeed-MajorY1	ASV1018	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1018_MajorY2	nsSeed-MajorY2	ASV1018	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1019_BostonY1	nsSeed-BostonY1	ASV1019	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1019_BostonY2	nsSeed-BostonY2	ASV1019	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1019_MajorY1	nsSeed-MajorY1	ASV1019	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1019_MajorY2	nsSeed-MajorY2	ASV1019	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV102_BostonY1	nsSeed-BostonY1	ASV102	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV102_BostonY2	nsSeed-BostonY2	ASV102	Seed	BostonY2	ns 	0.013003504	0.01<x<1%: Intermediate
ASV102_MajorY1	nsSeed-MajorY1	ASV102	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV102_MajorY2	nsSeed-MajorY2	ASV102	Seed	MajorY2	ns 	1.36157271	> 1%: Dominant
ASV1020_BostonY1	nsSeed-BostonY1	ASV1020	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1020_BostonY2	nsSeed-BostonY2	ASV1020	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1020_MajorY1	nsSeed-MajorY1	ASV1020	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1020_MajorY2	nsSeed-MajorY2	ASV1020	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1021_BostonY1	nsSeed-BostonY1	ASV1021	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1021_BostonY2	nsSeed-BostonY2	ASV1021	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1021_MajorY1	nsSeed-MajorY1	ASV1021	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1021_MajorY2	nsSeed-MajorY2	ASV1021	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1022_BostonY1	nsSeed-BostonY1	ASV1022	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1022_BostonY2	nsSeed-BostonY2	ASV1022	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1022_MajorY1	nsSeed-MajorY1	ASV1022	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1022_MajorY2	nsSeed-MajorY2	ASV1022	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1023_BostonY1	nsSeed-BostonY1	ASV1023	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1023_BostonY2	nsSeed-BostonY2	ASV1023	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1023_MajorY1	nsSeed-MajorY1	ASV1023	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1023_MajorY2	nsSeed-MajorY2	ASV1023	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1024_BostonY1	nsSeed-BostonY1	ASV1024	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1024_BostonY2	nsSeed-BostonY2	ASV1024	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1024_MajorY1	nsSeed-MajorY1	ASV1024	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1024_MajorY2	nsSeed-MajorY2	ASV1024	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1025_BostonY1	nsSeed-BostonY1	ASV1025	Seed	BostonY1	ns 	0	< 0.01%: Rare
