Combined2	All	ASV	Rel_abund_Soil	Compartment	GxY	Soil_div	Type
ASV4_High 	HighSoil-ndSoil	ASV4	9.10905484	Soil	nd 	High 	> 1%: Dominant
ASV4_Low 	LowSoil-ndSoil	ASV4	4.991616694	Soil	nd 	Low 	> 1%: Dominant
ASV19_Low 	LowSoil-ndSoil	ASV19	2.689948865	Soil	nd 	Low 	> 1%: Dominant
ASV21_High 	HighSoil-ndSoil	ASV21	3.195041864	Soil	nd 	High 	> 1%: Dominant
ASV21_Low 	LowSoil-ndSoil	ASV21	2.575482483	Soil	nd 	Low 	> 1%: Dominant
ASV23_High 	HighSoil-ndSoil	ASV23	5.77865123	Soil	nd 	High 	> 1%: Dominant
ASV24_High 	HighSoil-ndSoil	ASV24	1.250786757	Soil	nd 	High 	> 1%: Dominant
ASV25_High 	HighSoil-ndSoil	ASV25	4.301016155	Soil	nd 	High 	> 1%: Dominant
ASV34_Low 	LowSoil-ndSoil	ASV34	1.633361102	Soil	nd 	Low 	> 1%: Dominant
ASV35_Low 	LowSoil-ndSoil	ASV35	1.373000595	Soil	nd 	Low 	> 1%: Dominant
ASV39_Low 	LowSoil-ndSoil	ASV39	2.307667012	Soil	nd 	Low 	> 1%: Dominant
ASV48_Low 	LowSoil-ndSoil	ASV48	1.051998833	Soil	nd 	Low 	> 1%: Dominant
ASV58_Low 	LowSoil-ndSoil	ASV58	1.681741654	Soil	nd 	Low 	> 1%: Dominant
ASV92_High 	HighSoil-ndSoil	ASV92	1.308109701	Soil	nd 	High 	> 1%: Dominant
ASV99_High 	HighSoil-ndSoil	ASV99	1.683113211	Soil	nd 	High 	> 1%: Dominant
ASV133_Low 	LowSoil-ndSoil	ASV133	1.230583014	Soil	nd 	Low 	> 1%: Dominant
ASV135_High 	HighSoil-ndSoil	ASV135	1.992871827	Soil	nd 	High 	> 1%: Dominant
ASV139_Low 	LowSoil-ndSoil	ASV139	1.003967453	Soil	nd 	Low 	> 1%: Dominant
ASV142_Low 	LowSoil-ndSoil	ASV142	1.160445991	Soil	nd 	Low 	> 1%: Dominant
ASV161_Low 	LowSoil-ndSoil	ASV161	1.264563235	Soil	nd 	Low 	> 1%: Dominant
ASV168_High 	HighSoil-ndSoil	ASV168	1.343305132	Soil	nd 	High 	> 1%: Dominant
ASV205_High 	HighSoil-ndSoil	ASV205	1.359082288	Soil	nd 	High 	> 1%: Dominant
ASV234_Low 	LowSoil-ndSoil	ASV234	1.085323422	Soil	nd 	Low 	> 1%: Dominant
ASV1_High 	HighSoil-ndSoil	ASV1	0	Soil	nd 	High 	< 0.01%: Rare
ASV1_Low 	LowSoil-ndSoil	ASV1	0	Soil	nd 	Low 	< 0.01%: Rare
ASV2_High 	HighSoil-ndSoil	ASV2	0	Soil	nd 	High 	< 0.01%: Rare
ASV2_Low 	LowSoil-ndSoil	ASV2	0	Soil	nd 	Low 	< 0.01%: Rare
ASV5_High 	HighSoil-ndSoil	ASV5	0.026898754	Soil	nd 	High 	0.01<x<1%: Intermediate
ASV5_Low 	LowSoil-ndSoil	ASV5	0.042484783	Soil	nd 	Low 	0.01<x<1%: Intermediate
ASV6_High 	HighSoil-ndSoil	ASV6	0	Soil	nd 	High 	< 0.01%: Rare
ASV6_Low 	LowSoil-ndSoil	ASV6	0	Soil	nd 	Low 	< 0.01%: Rare
ASV7_High 	HighSoil-ndSoil	ASV7	0	Soil	nd 	High 	< 0.01%: Rare
ASV7_Low 	LowSoil-ndSoil	ASV7	0	Soil	nd 	Low 	< 0.01%: Rare
ASV8_High 	HighSoil-ndSoil	ASV8	0	Soil	nd 	High 	< 0.01%: Rare
ASV8_Low 	LowSoil-ndSoil	ASV8	0.06589699	Soil	nd 	Low 	0.01<x<1%: Intermediate
ASV9_High 	HighSoil-ndSoil	ASV9	0	Soil	nd 	High 	< 0.01%: Rare
ASV9_Low 	LowSoil-ndSoil	ASV9	0	Soil	nd 	Low 	< 0.01%: Rare
ASV11_High 	HighSoil-ndSoil	ASV11	0	Soil	nd 	High 	< 0.01%: Rare
