Combined	All	ASV	Rel_abund_Stem	Compartment	GxY	Soil_div	Combined2
ASV1_BostonY1	HighStem-BostonY1	ASV1	0	Stem	BostonY1	High 	ASV1_High 
ASV1_BostonY2	HighStem-BostonY2	ASV1	0	Stem	BostonY2	High 	ASV1_High 
ASV1_MajorY1	HighStem-MajorY1	ASV1	0	Stem	MajorY1	High 	ASV1_High 
ASV1_MajorY2	HighStem-MajorY2	ASV1	0	Stem	MajorY2	High 	ASV1_High 
ASV1_BostonY1	LowStem-BostonY1	ASV1	0	Stem	BostonY1	Low 	ASV1_Low 
ASV1_BostonY2	LowStem-BostonY2	ASV1	0	Stem	BostonY2	Low 	ASV1_Low 
ASV1_MajorY1	LowStem-MajorY1	ASV1	0	Stem	MajorY1	Low 	ASV1_Low 
ASV1_MajorY2	LowStem-MajorY2	ASV1	0	Stem	MajorY2	Low 	ASV1_Low 
ASV2_BostonY1	HighStem-BostonY1	ASV2	8.196419046	Stem	BostonY1	High 	ASV2_High 
ASV2_BostonY2	HighStem-BostonY2	ASV2	13.80959068	Stem	BostonY2	High 	ASV2_High 
ASV2_MajorY1	HighStem-MajorY1	ASV2	9.554642211	Stem	MajorY1	High 	ASV2_High 
ASV2_MajorY2	HighStem-MajorY2	ASV2	11.99596917	Stem	MajorY2	High 	ASV2_High 
ASV2_BostonY1	LowStem-BostonY1	ASV2	13.58262848	Stem	BostonY1	Low 	ASV2_Low 
ASV2_BostonY2	LowStem-BostonY2	ASV2	16.28010705	Stem	BostonY2	Low 	ASV2_Low 
ASV2_MajorY1	LowStem-MajorY1	ASV2	13.10178988	Stem	MajorY1	Low 	ASV2_Low 
ASV2_MajorY2	LowStem-MajorY2	ASV2	8.062238017	Stem	MajorY2	Low 	ASV2_Low 
ASV4_BostonY1	HighStem-BostonY1	ASV4	0.644742719	Stem	BostonY1	High 	ASV4_High 
ASV4_BostonY2	HighStem-BostonY2	ASV4	1.066587337	Stem	BostonY2	High 	ASV4_High 
ASV4_MajorY1	HighStem-MajorY1	ASV4	0.531570645	Stem	MajorY1	High 	ASV4_High 
ASV4_MajorY2	HighStem-MajorY2	ASV4	0.605690398	Stem	MajorY2	High 	ASV4_High 
ASV4_BostonY1	LowStem-BostonY1	ASV4	0.81160055	Stem	BostonY1	Low 	ASV4_Low 
ASV4_BostonY2	LowStem-BostonY2	ASV4	0.382542167	Stem	BostonY2	Low 	ASV4_Low 
ASV4_MajorY1	LowStem-MajorY1	ASV4	0.622528025	Stem	MajorY1	Low 	ASV4_Low 
ASV4_MajorY2	LowStem-MajorY2	ASV4	0.319314642	Stem	MajorY2	Low 	ASV4_Low 
ASV5_BostonY1	HighStem-BostonY1	ASV5	0.635773392	Stem	BostonY1	High 	ASV5_High 
ASV5_BostonY2	HighStem-BostonY2	ASV5	0.475492003	Stem	BostonY2	High 	ASV5_High 
ASV5_MajorY1	HighStem-MajorY1	ASV5	0.437356748	Stem	MajorY1	High 	ASV5_High 
ASV5_MajorY2	HighStem-MajorY2	ASV5	0.716050316	Stem	MajorY2	High 	ASV5_High 
ASV5_BostonY1	LowStem-BostonY1	ASV5	2.951232684	Stem	BostonY1	Low 	ASV5_Low 
ASV5_BostonY2	LowStem-BostonY2	ASV5	3.111863248	Stem	BostonY2	Low 	ASV5_Low 
ASV5_MajorY1	LowStem-MajorY1	ASV5	2.877216682	Stem	MajorY1	Low 	ASV5_Low 
ASV5_MajorY2	LowStem-MajorY2	ASV5	2.537099299	Stem	MajorY2	Low 	ASV5_Low 
ASV6_BostonY1	HighStem-BostonY1	ASV6	0	Stem	BostonY1	High 	ASV6_High 
ASV6_BostonY2	HighStem-BostonY2	ASV6	0	Stem	BostonY2	High 	ASV6_High 
ASV6_MajorY1	HighStem-MajorY1	ASV6	0	Stem	MajorY1	High 	ASV6_High 
ASV6_MajorY2	HighStem-MajorY2	ASV6	0	Stem	MajorY2	High 	ASV6_High 
ASV6_BostonY1	LowStem-BostonY1	ASV6	0	Stem	BostonY1	Low 	ASV6_Low 
ASV6_BostonY2	LowStem-BostonY2	ASV6	0	Stem	BostonY2	Low 	ASV6_Low 
ASV6_MajorY1	LowStem-MajorY1	ASV6	0	Stem	MajorY1	Low 	ASV6_Low 
ASV6_MajorY2	LowStem-MajorY2	ASV6	0	Stem	MajorY2	Low 	ASV6_Low 
ASV7_BostonY1	HighStem-BostonY1	ASV7	1.909319413	Stem	BostonY1	High 	ASV7_High 
ASV7_BostonY2	HighStem-BostonY2	ASV7	0.690497348	Stem	BostonY2	High 	ASV7_High 
ASV7_MajorY1	HighStem-MajorY1	ASV7	0.973703284	Stem	MajorY1	High 	ASV7_High 
ASV7_MajorY2	HighStem-MajorY2	ASV7	0.638448642	Stem	MajorY2	High 	ASV7_High 
ASV7_BostonY1	LowStem-BostonY1	ASV7	0	Stem	BostonY1	Low 	ASV7_Low 
ASV7_BostonY2	LowStem-BostonY2	ASV7	0	Stem	BostonY2	Low 	ASV7_Low 
ASV7_MajorY1	LowStem-MajorY1	ASV7	0	Stem	MajorY1	Low 	ASV7_Low 
ASV7_MajorY2	LowStem-MajorY2	ASV7	0	Stem	MajorY2	Low 	ASV7_Low 
ASV8_BostonY1	HighStem-BostonY1	ASV8	0	Stem	BostonY1	High 	ASV8_High 
ASV8_BostonY2	HighStem-BostonY2	ASV8	0	Stem	BostonY2	High 	ASV8_High 
ASV8_MajorY1	HighStem-MajorY1	ASV8	0	Stem	MajorY1	High 	ASV8_High 
ASV8_MajorY2	HighStem-MajorY2	ASV8	0	Stem	MajorY2	High 	ASV8_High 
ASV8_BostonY1	LowStem-BostonY1	ASV8	4.681940467	Stem	BostonY1	Low 	ASV8_Low 
ASV8_BostonY2	LowStem-BostonY2	ASV8	3.807577306	Stem	BostonY2	Low 	ASV8_Low 
ASV8_MajorY1	LowStem-MajorY1	ASV8	5.667107001	Stem	MajorY1	Low 	ASV8_Low 
ASV8_MajorY2	LowStem-MajorY2	ASV8	6.082581994	Stem	MajorY2	Low 	ASV8_Low 
ASV9_BostonY1	HighStem-BostonY1	ASV9	0	Stem	BostonY1	High 	ASV9_High 
ASV9_BostonY2	HighStem-BostonY2	ASV9	0	Stem	BostonY2	High 	ASV9_High 
ASV9_MajorY1	HighStem-MajorY1	ASV9	0	Stem	MajorY1	High 	ASV9_High 
ASV9_MajorY2	HighStem-MajorY2	ASV9	0	Stem	MajorY2	High 	ASV9_High 
ASV9_BostonY1	LowStem-BostonY1	ASV9	0	Stem	BostonY1	Low 	ASV9_Low 
ASV9_BostonY2	LowStem-BostonY2	ASV9	0	Stem	BostonY2	Low 	ASV9_Low 
ASV9_MajorY1	LowStem-MajorY1	ASV9	0	Stem	MajorY1	Low 	ASV9_Low 
ASV9_MajorY2	LowStem-MajorY2	ASV9	0	Stem	MajorY2	Low 	ASV9_Low 
ASV11_BostonY1	HighStem-BostonY1	ASV11	0	Stem	BostonY1	High 	ASV11_High 
ASV11_BostonY2	HighStem-BostonY2	ASV11	0	Stem	BostonY2	High 	ASV11_High 
ASV11_MajorY1	HighStem-MajorY1	ASV11	0	Stem	MajorY1	High 	ASV11_High 
ASV11_MajorY2	HighStem-MajorY2	ASV11	0	Stem	MajorY2	High 	ASV11_High 
ASV11_BostonY1	LowStem-BostonY1	ASV11	0	Stem	BostonY1	Low 	ASV11_Low 
ASV11_BostonY2	LowStem-BostonY2	ASV11	0	Stem	BostonY2	Low 	ASV11_Low 
