	x_axis	ASV_pool	ASV_seedling	Comb	Seedling_compartment	Soil_div	GxY	ASV_transmitted	Nb_ASV	Pool_Soil_div	Pool	per_unkn	Nb_unkn
1	Seed_BostonY1	78	0.202429149797571	Root High	Root	High	BostonY1	1.27551020408163	1	SeedHigh	Seed	44.9068103327303	108
2	Seed_BostonY2	348	0.829875518672199	Root High	Root	High	BostonY2	0.287686996547756	1	SeedHigh	Seed	44.4117218834733	106
3	Seed_MajorY1	40	0.201612903225806	Root High	Root	High	MajorY1	2.5	1	SeedHigh	Seed	53.0406956701113	131
4	Seed_MajorY2	412	0	Root High	Root	High	MajorY2	0	0	SeedHigh	Seed	46.033127014871	116
5	Seed_BostonY1	78	0	Root Low	Root	Low	BostonY1	0	0	SeedLow	Seed	19.3660001257624	41
6	Seed_BostonY2	348	1.03806228373702	Root Low	Root	Low	BostonY2	0.287686996547756	1	SeedLow	Seed	19.4922192166732	44
7	Seed_MajorY1	40	0	Root Low	Root	Low	MajorY1	0	0	SeedLow	Seed	21.0080811387555	46
8	Seed_MajorY2	412	0.707964601769911	Root Low	Root	Low	MajorY2	0.242483026188167	1	SeedLow	Seed	19.9707762486129	44
9	Seed_BostonY1	78	0.33955857385399	Stem High	Stem	High	BostonY1	1.27551020408163	1	SeedHigh	Seed	49.124007838941	144
10	Seed_BostonY2	348	0.798722044728434	Stem High	Stem	High	BostonY2	0.575373993095512	2	SeedHigh	Seed	51.5428505143981	157
11	Seed_MajorY1	40	0.193050193050193	Stem High	Stem	High	MajorY1	2.5	1	SeedHigh	Seed	53.4986924572267	135
12	Seed_MajorY2	412	0.652173913043478	Stem High	Stem	High	MajorY2	0.484966052376334	2	SeedHigh	Seed	47.7874204051258	109
13	Seed_BostonY1	78	0	Stem Low	Stem	Low	BostonY1	0	0	SeedLow	Seed	20.5424087252281	44
14	Seed_BostonY2	348	0.718132854578097	Stem Low	Stem	Low	BostonY2	0.575373993095512	2	SeedLow	Seed	20.1724828859036	45
15	Seed_MajorY1	40	0.36036036036036	Stem Low	Stem	Low	MajorY1	2.5	1	SeedLow	Seed	20.3738848238976	45
16	Seed_MajorY2	412	0.511073253833049	Stem Low	Stem	Low	MajorY2	0.242483026188167	1	SeedLow	Seed	19.8392432609215	48
17	Soil_High	830	49.1902834008097	Root_BoY1	Root	High	BostonY1	16.144578313253	134	SoilHigh	Soil	44.9068103327303	108
18	Soil_Low	543	78.6641929499072	Root_BoY1	Root	Low	BostonY1	31.1233885819521	169	SoilLow	Soil	19.3660001257624	41
19	Soil_High	830	50.8298755186722	Root_BoY2	Root	High	BostonY2	15.7831325301205	131	SoilHigh	Soil	44.4117218834733	106
20	Soil_Low	543	79.0657439446367	Root_BoY2	Root	Low	BostonY2	33.1491712707182	180	SoilLow	Soil	19.4922192166732	44
21	Soil_High	830	41.9354838709677	Root_MaY1	Root	High	MajorY1	14.2168674698795	118	SoilHigh	Soil	53.0406956701113	131
22	Soil_Low	543	78.0701754385965	Root_MaY1	Root	Low	MajorY1	32.2283609576427	175	SoilLow	Soil	21.0080811387555	46
23	Soil_High	830	49.0526315789474	Root_MaY2	Root	High	MajorY2	16.5060240963855	137	SoilHigh	Soil	46.033127014871	116
24	Soil_Low	543	78.9380530973451	Root_MaY2	Root	Low	MajorY2	32.4125230202578	176	SoilLow	Soil	19.9707762486129	44
25	Soil_High	830	43.8030560271647	Stem_BoY1	Stem	High	BostonY1	17.2289156626506	143	SoilHigh	Soil	49.124007838941	144
26	Soil_Low	543	77.8398510242086	Stem_BoY1	Stem	Low	BostonY1	31.1233885819521	169	SoilLow	Soil	20.5424087252281	44
27	Soil_High	830	42.332268370607	Stem_BoY2	Stem	High	BostonY2	17.5903614457831	146	SoilHigh	Soil	51.5428505143981	157
28	Soil_Low	543	77.3788150807899	Stem_BoY2	Stem	Low	BostonY2	31.4917127071823	171	SoilLow	Soil	20.1724828859036	45
29	Soil_High	830	41.5057915057915	Stem_MaY1	Stem	High	MajorY1	14.2168674698795	118	SoilHigh	Soil	53.4986924572267	135
30	Soil_Low	543	77.6576576576577	Stem_MaY1	Stem	Low	MajorY1	31.4917127071823	171	SoilLow	Soil	20.3738848238976	45
31	Soil_High	830	45	Stem_MaY2	Stem	High	MajorY2	13.6144578313253	113	SoilHigh	Soil	47.7874204051258	109
32	Soil_Low	543	77.1720613287905	Stem_MaY2	Stem	Low	MajorY2	33.1491712707182	180	SoilLow	Soil	19.8392432609215	48
